,come_out,E243,"door: to,forward"
,comfort,EA3B,"love,compassion: person"
,command,E058,"mouth,said,speak: !"
,commandment,E22F,"Book,learn,read: allow,permit,permission: mouth,said,speak: crown,ruler,king,lord,master"
,compassion,E01A,
,complete,ECEC,"Very: all,whole"
,concubine,EEFC,"Love,compassion: chain,imprisoned,bound,arrest: woman"
,condemn,EA7F,"mouth,said,speak: know,knowledge: no,not"
,condemnation,EA7F,"mouth,said,speak: know,knowledge: no,not"
,confession,E03F,
,confidence,E070,"know,knowledge: know,knowledge"
,confuse,EB08,"no,not: understand,understanding: know,knowledge: very"
,continue,E049,Thing
,control,E332,tie: down
,convert,E83A,"change,turn: person"
,Corinth,EA59,"full: cup,drink: village: many: neighbor: house: near"
,Cornelius,EB81,"man: sun,day"
,corner,EB83,"fabric,clothing"
,cornerstone,E21C,"very: hard: soft: no,not: thing"
,correct,E09A,good
,Cosam,EC59,man: many
,couch,EB5F,"big: chair,sit"
,council,E0F7,body: person
,counted,EBC0,very: measure
,country,E0A2,"big: land,ground,earth"
,countrymen,E157,"person: friend: love,compassion: land,ground,earth"
,countryside,EB96,"big: field,farm: grain,wheat: land,ground,earth"
,courage,E196,"no,not: afraid,fear: mouth,said,speak: heart"
,courtyard,E0F6,"land,ground,earth: church,temple"
,covenant,E21D,"mouth,said,speak: promise: very: work,do"
,cover,E39A,straight: thing
,covet,E022,"desire,like,want: heart: love,compassion: you: thing"
,cow,EB36,
,create,E076,hand: person
,creation,EBC3,"person: thing: all,whole"
,Creator,EC22,"god: crown,ruler,king,lord: man: house: make,create: hand: person: love,compassion"
,credit,EBC0,very: measure
,Crescan,ECAF,"Man: up: land,ground,earth"
,Crete,EC8D,"flesh: soft: person: island: wet,water: land,ground,earth"
,Crispus,EB3A,"man: crooked: no,not: straight"
,criticize,E055,"Mouth,said,speak,confession: bad: no,not: good"
,crooked,EB39,"no,not: straight"
,cross,E038,
,crowd,E128,people
,crown,EDA4,Thing: king
,crucify,E03C,"kill,destroy: knife,cut: person: cross"
,crush,E146,person: thing
,cry,E20C,"sad,grieve: wet,water"
,cup,E274,
,curse,E05A,"mouth,said,speak: no,not: good: fire,heat,hot"
,curtain,E254,"fabric,clothing: window"
,Cush,EDCA,"all,whole: night,moon: land,ground,earth"
,Cush_land,E1E2,Man: all: moon: land
,Cush_man,EDCA,"Man: all,whole: moon,night"
,cushion,E26C,soft: face
,custom,EB10,"whole,all: work,do"
,cut,E24E,
,cymbal,EBE3,"hand: sound,noise: ear,hear: thing"
,cypress,EDCB,
,Cyprus,EB88,"good: island: wet,water: land,ground.earth: plant,tree,wood"
,Cyrene,EB59,"Horse: knot,tie: land,ground,earth"
,Dalmanutha,E344,"shout: big: mouth,said,speak: land,ground,earth"
,Dalmatia,ECB1,"Lie,deceive.deception,false,lead_astray: bad: no,not: good: measure: village: many,much: neighbor: house: near,close"
,Damaris,EB37,woman: cow
,Damascus,EC31,"blood: hand: wet,water: village: many: neighbor: house: near"
,Dan_land,EDCC,"Ruler,lord,king,crown,master: or: earth,ground,land"
,Dan_man,EDCD,"Man: ruler,lord,king,crown,master: or"
,dance,E259,"walk: happy,joy"
,Daniel,EA78,"man: me,i: or"
,dark,EA17,"no,not: light: eye,see: sun,day"
,daughter,E00C,"woman: love,compassion: small,few"
,daughters,E00D,"woman: love,compassion: small,few"
,David,E35E,"man: appointed: mouth,said,speak: near: person: call,beckon"
,day,E15F,
,deacon,E12D,"Person: love,compassion: work,do"
,dead,E181,"no,not: heart"
,deaf,E191,"no,not: hear,ear"
,death,E181,"no,not: heart"
,Deborah,EFB5,"Woman: ruler,lord,king,crown,master: or"
,Decapolis,E33E,"ten: land,ground,earth"
,deceive,E17F,"no,not: good: measure"
,deceiver,E152,"person: no,not: good: measure: deceive,deception,lie,false,lead_astray"
,deception,E17F,no: good: measure
,Dedan,EDCE,"Man: to,forward"
,deep,E321,
,deer,EFB6,"Fast: very: to,forward: animal"
,Demes,ECB2,Man: people: person
,Demetrius,EB1A,"man: sow,to_plant: seed: plant,tree,wood: small: hand"
,demon,EB87,"no,not: good: spirit: person"
,denarius,E165,"sun,day: money,wealth,wealthy"
,deny,E0E5,"no,not: mouth,said,speak: know,knowledge"
,depart,E243,"door: to,forward"
,depth,E321,
,Derbe,EB43,flesh: soft: person: village: many: neighbor: house: near
,descend,E317,Down
,descendant,EB60,"time: to,forward: small,few: people"
,desert,E156,"land,ground,earth: no,not: tree,plant,wood"
,deserve,E0F5,"money,wealth,wealthy: work,do"
,desire,E020,"love,compassion: heart"
,destroy,E141,"knife,cut: person"
,destruction,E141,"Knife,cut: person"
,Didymus,EBB6,"man: two: mind,think: know,knowledge: head: face"
,die,E181,"no,not: heart"
,different,ECFF,"No,not: equal,same"
,difficult,E093,"sad,grieve: work,do"
,dignify,E04B,"Mouth,said,speak,confession: good"
