,Crescan,ecaf,2 Tim 4:10
,Crete,ec8d,Acts 27:7
,Crispus,eb3a,Acts 18:8
,crooked,eb39,
,cross,e038,
,crowd,e128,
,crown,eda4,
,crucify,e03c,
,crush,e146,
,cry,e20c,
,cup,e274,
,curse,e05a,
,curtain,e254,
,Cush_land,e1e2,Isa 11:11
,Cush_man,edca,Gen 10:6
,Cushan_Rishathaim,e47b,Judg 3:8
,Cushi,e610,Zeph 1:1
,custom,eb10,
,cymbal,ebe3,
,Cypress,edcb,Gen 6:14
,Cyprus,eb88,Acts 4:36
,Cyrene,eb59,Matt 27:32
,Cyrus,e831,Ezra 1:1
,Dabbesheth,e5a2,Jos 19:10
,Dagon,e4e8,2 Sam 10:10
,Dalmanutha,e344,Mark 8:10
,Dalmatia,ecb1,2 Tim 4:10
,Damaris,eb37,Acts 17:34
,Damascus,ec31,Gen  14:15
,Dan_land,edcc,Gen 14:14
,Dan_man,edcd,Gen 30:6
,dance,e259,
,Daniel,ea78,Matt 24:15
,Dannah,e4bf,Josh 15:49
,Darda,e969,1 Kgs 4:31
,Darius,e490,Hag 1:1
,dark,ea17,
,Darkon,e832,Ezra 2:56
,Dathan,e2f7,Num 16:1
,daughter,e00c,
,daughters,e00d,
,David,e35e,Matt 1:1
,dead,e181,
,deaf,e191,
,Debir_city,e43e,Josh 10:38
,Debir_man,e42d,Josh 10:3
,Deborah,efb5,Gen 35:8
,Decapolis,e33e,Matt 4:25
,deceive,e17f,
,deceiver,e152,
,Dedan_man,edce,Gen 10:7
,Dedan_village,e7ca,Isa 21:13
,deep,e321,
,deer,efb6,
,Delaiah,e70c,1 Chron 3:24
,Delilah,e576,Judg 16:4
,Demes,ecb2,2 Tim 4:10
,Demetrius,eb1a,Acts 19:24
,demon,eb87,
,denarius,e165,Matt 22:19
,deny,e0e5,
,Derbe,eb43,Acts 14:6
,descend,e317,
,descendant,eb60,
,desire,e020,
,Deuel,e2b3,Num 1:14
,Diblaim,e595,Hos 1:3
,Dibon,e3a9,Num 21:30
,Dibon_Gad,e3e8,Num 33:45
,Dibri,e2ef,Lev 24:11
,Didymus,ebb6,John 11:16
,different,ecff,
,difficult,e093,
,Diklah,e1ac,Gen  10:27
,Dilean,e4c0,Josh 15:38
,Dimonah,e4c1,Josh 15:22
,Dinah,efb7,Gen 30:21
,Dinhabah_city,efed,Gen 36:32
,Dionysius,eb78,Acts 17:34
,Diotrephes,ece2,3 John 1:9
,direction,e323,
,dirt,e15b,
,dirty,e249,
,disciple,e142,
,discipline,eda5,
,discourage,e261,
,Dishan,e1ec,Gen 36:21
,Dishon,efee,Gen 36:21
,disobey,e193,
,divide,e326,
,divorce,ea3d,
,Dizahab,e481,Deut 1:1
,doctor,e144,
,Dodanim,edcf,Gen  10:4
,Dodavahu,e812,2 Chron 20:35
,Dodo,e51d,Judg 10:1
,Doeg,e460,1 Sam 21:7
,dog,e104,
,dominion,e032,
,donkey,ea09,
,door,e23e,
,Dophkah,e3dd,Num 33:12
,Dor,e43f,Josh11:2
,Dorcas,ec2c,Acts 9:36
,Dothan,efa3,Gen 37:17
,doubt,e194,
,dough,ea36,
,dove,e25e,
,down,e319,
,dragon,ecdf,
,dream,ea80,
,drunk,ea8d,
,Drusilla,eb9c,Acts 24:24
,dry,e188,
,Dumah_man,eefd,Gen 25:64e
,Dumah_village,e64e,Josh 15:52
,dust,e15d,
,eagle,ecc9,
,ear,e299,
,earn,e0f5,
,earthquake,e159,
,east,ea38,
,easy,e092,
,eat,e053,
,Ebal,efef,Gen 36:23
,Ebed,e577,Judg 9:26
,Ebed_Melek,e901,Jer 38:7
,Eber_land,e497,Num 24:24
,Eber_man,ec5a,Gen 10:21
,Ebez,e5a3,Jos 19:20
,Ecbatana,e833,Ezra 6:2
,Eden_garden,edd2,Gen  2:8
,Eden_man,e1e9,2 Chr 29:12
,Eden_village,e6a6,2 Kgs 19:12
,Eder_man,e76b,1 Chron 23:23
,Eder_village,e4c2,Josh 15:21
,Edom_land,e1a7,Gen 32:3
,Edom_man,e1a6,Gen 25:30
