,betrayal,E195,"no,not: trust: love,compassion: good: measure"
,better,E09E,"good: many,much"
,between,E118,thing: stick
,Bible,E22C,"book,read,learn: cross"
,big,E120,
,Bilhah,EEFA,"Woman: strong: hand: power,ability,can: big: knife,cut"
,Bilhan,EFEB,"Man: humble,humility: small,few: mouth,said,speak,confession: me,I"
,bird,E25C,
,Birsha,EDC5,"Man: bad: no,not: good: forward,to"
,birth,E235,"start,beginning: person"
,Bithynia,EB48,"break: knife,cut: all,whole: land,ground,earth,space"
,bitter,ECD2,"Bad: no,not: good: tongue: mouth,said,speak,confession: clothing,fabric"
,black,EB86,"color: moon,night"
,blaspheme,E05B,"Mouth,said,speak,confession: bad: no,not: good: king,ruler,lord,master: man: love,compassion"
,blasphemy,E05B,"mouth,said,speak,confession: bad: no,not: good: king,lord,ruler,master: man: love,compassion"
,Blastus,EB8D,"man: small,few: tree,plant,wood"
,blemish,ED01,
,bless,E05C,"mouth,said,speak,confession: gift: hand: love,compassion"
,blessed,EA21,"happy,joy: face: many,much"
,blessing,E05C,"mouth,said,speak,confession: gift: hand: love,compassion"
,blind,E192,"no,not: eye,see"
,blood,E087,"hand: water,wet"
,blue,ECDA,"River,stream: color"
,boast,E14B,"big: mouth,said,speak,confession: me,I"
,boat,E265,
,Boaz,EA54,"man: fast_speed: very: forward,to"
,body,E143,person
,bone,E0B2,
,book,E22A,
,born,E235,"start,beginning: person"
,bottom,E119,thing
,bound,E25F,
,bow,E210,face: down
,bow_arrow,ECC8,"String: war,battle,fight"
,bowl,E384,
,box,E29E,
,boy,E001,"small,few: man"
,boys,E002,"small,few: man"
,Bozrah,EFEC,"Sheep: soft: keep: very: have: hand: village: many,much: neighbor: house: near,close"
,branch,E246,"tree,plant,wood"
,brave,E196,"no,not: afraid,fear: mouth,said,speak,confession: heart"
,bread,E05D,"mouth,said,speak,confession: grain,wheat"
,break,E0E1,"knife,cut: all,whole"
,breastplate,ECD5,Shield: body: person
,breath,ECEE,"Mouth,said,speak,confession: air"
,breathe,ECEE,"mouth,said,speak,confession: air"
,bribe,EBDB,"Bad: no,not: good: forward,to: money,wealth,wealthy"
,brick,EEFB,"Make,create: hand: person: rock: hard: soft: no,not: thing"
,bride,E015,"start,beginning: love,compassion: woman"
,bright,E21B,"very: sun,day"
,bring,E088,hand: thing
,bronze,EB2C,soft: metal
,brother,E006,"man: love,compassion: small,few"
,brothers,E007,"man: love,compassion: small,few"
,build,E17A,"house: make,create: hand: person"
,building,E0A1,
,burden,EC86,Heavy: hand: big: measure: person
,burn,ECD0,"Kill,destroy,destruction: knife,cut: person: fire,hot,heat"
,burnt,ECD0,"Kill,destroy,destruction: knife,cut: person: fire,hot,heat"
,bury,E0D7,"straight: dead,death,die: no,not: heart"
,but,E11A,"thing: clothing,fabric"
,buy,E32A,"forward,to: money,wealth,wealthy"
,Buz,E1A5,"Man: least: very: small,few: know,knowledge"
,Caesar,E370,"man: big: king,lord,ruler,master"
,Caesarea,E346,"person: king,ruler,lord,master: land,ground,earth,space"
,Caiaphas,EA77,"man: crucify: knife,cut: person: kill,destroy,destruction: cross"
,Cain,EC56,Man: have: hand
,Cainan,EC56,man: have: hand: .
,Calah,EDC6,"Old: no,not: new: village: many,much: neighbor: house: near,close"
,call,E040,"mouth,said,speak,confession: near,close"
,camel,E29F,
,can,E124,"big: knife,cut"
,Cana,EBA2,"reed: big: grass: village: many,much: neighbor: house: near,close"
,Canaan_land,E33D,"promise: mouth,said,speak,confession: work,do: land,ground,earth,space"
,Canaan_man,EDC7,"Man: promise: mouth,said,speak,confession: work,do"
,Candace,EB85,"woman: king,lord,ruler,master"
,Capernaum,E33A,"soft: village: many,much: neighbor: house: near,close"
,Caphtorites,EDC8,Fruit: people
,Cappadocia,EB74,"horse: land,ground,earth,space"
,careful,E19E,"small,few: heart"
,carpenter,E14F,"person: hand: thing: tree,plant,wood"
